Ã…r,Utslipp i CO2 ekvivalenter
1973,30340880000
1974,30245190000
1975,30411125000
1976,31535469000
1977,32603044000
1978,33151205000
1979,33198746000
1980,33347820000
1981,32570309000
1982,32320344000
1983,32752468000
1984,34383640000
1985,34802164000
1986,35424960000
1987,35869164000
1988,36640596000
1989,36901773000
1990,37335880000
1991,37748945000
1992,37381090000
1993,37327962000
1994,38563020000
1995,38797140000
1996,40186060000
1997,41658655000
1998,40217952000
1999,40655057000
2000,40732266000
2001,40393683000
2002,41334140000
2003,43886330000
2004,44371150000
2005,44987160000
2006,46601814000
2007,46866113000
2008,47752990000
2009,47577604000
2010,49800950000
2011,51089150000
2012,52088530000
2013,51811950000
2014,52359200000
2015,52443984000
2016,51361518000
2017,51949548000
2018,52420270000
2019,52796522000
2020,50792542000
2021,52938793000
2022,53327217000
2023,53816852000
