from,to,variables.pm10_concentration.value,variables.pm25_concentration.value,variables.no2_concentration.value
2025-04-22T06:00:00Z,2025-04-22T06:00:00Z,42.54898452758789,10.20195198059082,57.981712341308594
2025-04-22T07:00:00Z,2025-04-22T07:00:00Z,31.209136962890625,9.934441566467285,54.041725158691406
2025-04-22T08:00:00Z,2025-04-22T08:00:00Z,23.920642852783203,9.457625389099121,42.66877365112305
2025-04-22T09:00:00Z,2025-04-22T09:00:00Z,19.837242126464844,8.847992897033691,42.74982833862305
2025-04-22T10:00:00Z,2025-04-22T10:00:00Z,13.090226173400879,6.609530925750732,29.78384017944336
2025-04-22T11:00:00Z,2025-04-22T11:00:00Z,15.785480499267578,5.273535251617432,21.663633346557617
2025-04-22T12:00:00Z,2025-04-22T12:00:00Z,15.780986785888672,4.560815811157227,19.58136558532715
2025-04-22T13:00:00Z,2025-04-22T13:00:00Z,16.531925201416016,4.736477375030518,17.727975845336914
2025-04-22T14:00:00Z,2025-04-22T14:00:00Z,18.409496307373047,5.289571285247803,19.065475463867188
2025-04-22T15:00:00Z,2025-04-22T15:00:00Z,16.93632698059082,5.293227195739746,17.778850555419922
2025-04-22T16:00:00Z,2025-04-22T16:00:00Z,14.861907005310059,5.032674312591553,17.269533157348633
2025-04-22T17:00:00Z,2025-04-22T17:00:00Z,14.061686515808105,5.016789436340332,18.021568298339844
2025-04-22T18:00:00Z,2025-04-22T18:00:00Z,12.256571769714355,4.645483016967773,15.519902229309082
2025-04-22T19:00:00Z,2025-04-22T19:00:00Z,8.296256065368652,4.453800201416016,16.130233764648438
2025-04-22T20:00:00Z,2025-04-22T20:00:00Z,3.6907730102539062,3.189483165740967,10.879615783691406
2025-04-22T21:00:00Z,2025-04-22T21:00:00Z,3.502239942550659,3.123835325241089,8.470538139343262
2025-04-22T22:00:00Z,2025-04-22T22:00:00Z,4.067152500152588,3.5042362213134766,5.388452053070068
2025-04-22T23:00:00Z,2025-04-22T23:00:00Z,4.395000457763672,3.6916871070861816,3.9381816387176514
2025-04-23T00:00:00Z,2025-04-23T00:00:00Z,4.503131866455078,3.74599552154541,3.7249197959899902
2025-04-23T01:00:00Z,2025-04-23T01:00:00Z,4.38663387298584,3.577617883682251,3.4764485359191895
2025-04-23T02:00:00Z,2025-04-23T02:00:00Z,4.627968788146973,3.5829997062683105,3.1684417724609375
2025-04-23T03:00:00Z,2025-04-23T03:00:00Z,4.7845048904418945,3.2690346240997314,3.4978208541870117
2025-04-23T04:00:00Z,2025-04-23T04:00:00Z,6.388687610626221,3.3182477951049805,6.796530723571777
2025-04-23T05:00:00Z,2025-04-23T05:00:00Z,11.724686622619629,4.151455402374268,17.382848739624023
2025-04-23T06:00:00Z,2025-04-23T06:00:00Z,14.195582389831543,4.597312927246094,19.70442771911621
2025-04-23T07:00:00Z,2025-04-23T07:00:00Z,13.303714752197266,4.490570545196533,15.026350975036621
2025-04-23T08:00:00Z,2025-04-23T08:00:00Z,11.394855499267578,4.2370405197143555,10.455179214477539
2025-04-23T09:00:00Z,2025-04-23T09:00:00Z,11.079933166503906,4.1630988121032715,9.216711044311523
2025-04-23T10:00:00Z,2025-04-23T10:00:00Z,10.759074211120605,3.987567901611328,8.471014022827148
2025-04-23T11:00:00Z,2025-04-23T11:00:00Z,10.543679237365723,3.8215131759643555,7.993433952331543
2025-04-23T12:00:00Z,2025-04-23T12:00:00Z,10.725809097290039,3.747363567352295,8.128153800964355
2025-04-23T13:00:00Z,2025-04-23T13:00:00Z,11.40689754486084,3.8235678672790527,9.105055809020996
2025-04-23T14:00:00Z,2025-04-23T14:00:00Z,12.206293106079102,3.915384531021118,11.156850814819336
2025-04-23T15:00:00Z,2025-04-23T15:00:00Z,11.372161865234375,3.789823055267334,11.133337020874023
2025-04-23T16:00:00Z,2025-04-23T16:00:00Z,10.3596773147583,3.8663299083709717,10.513412475585938
2025-04-23T17:00:00Z,2025-04-23T17:00:00Z,10.383933067321777,4.19345760345459,10.63864803314209
2025-04-23T18:00:00Z,2025-04-23T18:00:00Z,11.252685546875,4.780167579650879,11.391145706176758
2025-04-23T19:00:00Z,2025-04-23T19:00:00Z,10.452035903930664,5.13975191116333,10.427812576293945
2025-04-23T20:00:00Z,2025-04-23T20:00:00Z,9.136672973632812,5.009661674499512,8.90598201751709
2025-04-23T21:00:00Z,2025-04-23T21:00:00Z,8.567652702331543,4.941585063934326,7.845963478088379
2025-04-23T22:00:00Z,2025-04-23T22:00:00Z,7.271548748016357,4.480877876281738,5.916365623474121
2025-04-23T23:00:00Z,2025-04-23T23:00:00Z,6.289851188659668,4.113260269165039,4.627447605133057
2025-04-24T00:00:00Z,2025-04-24T00:00:00Z,7.022531509399414,4.560771465301514,4.972444534301758
2025-04-24T01:00:00Z,2025-04-24T01:00:00Z,6.753279685974121,4.3000922203063965,5.008375644683838
2025-04-24T02:00:00Z,2025-04-24T02:00:00Z,6.611565589904785,4.076348304748535,5.469061851501465
2025-04-24T03:00:00Z,2025-04-24T03:00:00Z,7.616153717041016,3.8320560455322266,8.290794372558594
2025-04-24T04:00:00Z,2025-04-24T04:00:00Z,12.080792427062988,4.2650604248046875,20.302444458007812
2025-04-24T05:00:00Z,2025-04-24T05:00:00Z,14.639854431152344,4.386033058166504,24.18196678161621
2025-04-24T06:00:00Z,2025-04-24T06:00:00Z,14.295501708984375,4.056825160980225,20.2634334564209
2025-04-24T07:00:00Z,2025-04-24T07:00:00Z,12.678380012512207,3.763091802597046,15.742905616760254
2025-04-24T08:00:00Z,2025-04-24T08:00:00Z,11.631440162658691,3.7512662410736084,13.630048751831055
2025-04-24T09:00:00Z,2025-04-24T09:00:00Z,11.598504066467285,3.7487735748291016,13.879549026489258
2025-04-24T10:00:00Z,2025-04-24T10:00:00Z,10.334457397460938,3.697045087814331,9.981947898864746
2025-04-24T11:00:00Z,2025-04-24T11:00:00Z,10.149653434753418,4.032134056091309,8.966896057128906
2025-04-24T12:00:00Z,2025-04-24T12:00:00Z,9.871996879577637,4.038084983825684,8.876787185668945
2025-04-22T22:00:00Z,2025-04-23T21:00:00Z,9.250767707824707,4.056061267852783,19.70442771911621
